Ai studiat anterior no?iuni de statistic? sau analiz? a datelor?,Ce not? ai ob?inut la cursul de Probabilit??i ?i Statistic? Matematic? (anul 1)?,Ce not? ai ob?inut la cursul de Statistic? Economic? (anul 2)?,Ce profil ai avut în liceu?,În prezent:,Cum apreciezi nivelul t?u actual de interes fa?? de analiza datelor?,Cât de dificil crezi c? va fi acest curs?,Ai inten?ia s? studiezi mai departe analiza datelor dup? acest curs?,?i-ar pl?cea s? lucrezi în domeniul statisticii sau analizei datelor dup? terminarea studiilor?,Cât timp ai disponibil pe s?pt?mân? pentru a studia acest curs?,Ce te motiveaz? s? participi la acest curs?,"Cum consideri c? ai nevoie de suport suplimentar pentru a în?elege conceptele statistice?

(Exemple de ajutor suplimentar: explica?ii suplimentare din partea profesorului, resurse online, exemple practice, tutoriale video, ?edin?e de clarificare etc.)",Ce tip de resurse ?i-ar fi cele mai utile pentru a înv??a statistica?,Care este principalul t?u obiectiv legat de acest curs?,Cuno?ti deja profesorul/profesorii acestui curs dintr-o experien?? anterioar??,"Dac? ai avut cursuri cu profesorul/profesorii, cum ai descrie experien?a anterioar??",Cât de confortabil te sim?i s? interac?ionezi cu profesorul/profesorii acestui curs?,"Pân? acum, ai adresat vreodat? întreb?ri sau ai cerut clarific?ri profesorilor de statistic??",Cum preferi s? înve?i?,Cum ?i-ai descrie nivelul de confort în a lucra cu date ?i cifre?,Ce metode de evaluare preferi?,În ce m?sur? te sim?i confortabil lucrând cu R/RStudio?,Care este nivelul t?u de experien?? în utilizarea R/RStudio?,Ai nevoie de resurse suplimentare pentru a înv??a s? folose?ti R/RStudio?,Timestamp.y,Am citit ?i sunt de acord s? continui.y,"Programul de studii (codul din orar, exemplu CE3):.y",st1,st2,st3,st4,st5,st6,st8,st9,st10,st11,st12,st13,st14,st15,st16,st17,st18,st19,st20,st21,st22,st23,st24,st25,st26,st27,st28,crt1,crt2,crt3,crt4,crt5,crt6,crt7,crt8,crt9,crt10,crt11,crt12,crt13,crt14,crt15,crt16,crt17,crt18,crt19,crt20,crt21,crt22,crt23,crt24,crt25,crt26,crt27,crt29,crt30,crt31,crt32,crt35,crt36,crt37,Timestamp,Am citit ?i sunt de acord s? continui,crt40,crt41,crt42,crt43,crt44,crt45,crt46,crt47,crt48,crt49,crt50,crt51,crt52,crt53,crt54,crt55,crt56,crt57,crt58,crt59,crt60,crt61,crt62,crt63,crt64,crt65,crt66,crt67,crt68,crt69,crt70,crt71,crt72,crt73,crt74,crt76,crt77,crt78,crt79,crt80,control3,crt81,crt82,crt83,crt84,crt85,crt86,crt87,crt88,crt89,crt90,crt91,crt92,crt93,crt94,crt95,crt96,crt97,crt98,crt99,crt100,crt101,crt102,crt103,crt105,crt106,crt107,crt109,crt110,control4,crt111,crt112,crt113,crt114,crt115,crt116,crt117,crt118,crt119,crt120,crt121,crt122,crt123,SATS,CRT,CRT_extins,Gambler,Conjunction,Covariation,sylogistic,Numeracy,SATS2,SATS3,SATS4,SATS5,SATS6,SATS7,SATS8,SATS9,SATS10,SATS11
"Da, într-un curs avansat",9,9,Matematic?-informatic?,Nu lucrez în prezent,4,5,"Poate, dac? mi se pare util","Da, este una dintre op?iunile mele principale",2-4 ore,Este parte din programul meu de studii,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Probleme rezolvate pas cu pas,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,4,Teste gril?,3,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, tutoriale video",2025/03/07 15:29:44,Da,CE3,5,5,3,5,2,4,6,3,2,2,1,4,4,5,3,3,5,2,6,4,5,7,6,2,6,5,4,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,4,5,5,5,5,4,3,3,2,2025/03/10 14:29:30,Da,3,5,4,4,4,4,4,4,5,1,3,3,4,2,3,3,4,4,3,5,2,4,4,3,4,4,5,5,5,2,3,2,5,2,2,1,3,1,2,2,2,1,4,2,4,1,1,5,5,4,2,3,3,4,3,2,2,4,5,2,6,7,7,7,4,4,5,5,6,4,6,5,3,4,5,7,6,7,7,4,6,5,7,4.642857143,3,4,1,0,0,2,9,4.75,3.75,4,0.947368421,3.333333333,2,5.333333333,2.133333333,2.666666667,1.652173913
"Nu, este prima mea experien?? cu statistica",7,6,Matematic?-informatic?,Nu lucrez în prezent,3,2,"Poate, dac? mi se pare util",Nu cred c? m? intereseaz?,2-4 ore,Îmi place analiza datelor,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Exemple practice ?i studii de caz,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,5,Proiecte practice,4,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Da, exemple practice pas cu pas",2025/03/07 23:02:10,Da,CE3,6,6,5,5,2,7,3,2,1,1,2,4,2,6,5,4,4,1,3,1,3,7,6,5,6,4,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,4,5,5,5,5,3,5,5,3,2025/03/10 23:14:37,Da,5,3,5,5,5,4,5,4,5,1,2,4,5,5,4,5,4,5,3,5,1,5,5,3,5,5,5,5,2,4,2,1,4,3,1,1,2,1,4,1,2,1,4,2,2,1,2,3,3,4,1,5,5,3,5,4,2,5,5,3,7,7,7,7,6,7,7,7,7,4,5,7,5,7,7,7,7,7,7,5,7,6,7,4.714285714,3,4,1,0,1,2,9,4.875,4.25,4.3,1.052631579,3.666666667,1.666666667,5.333333333,1.933333333,2.666666667,1.782608696
"Da, dar doar elemente de baz?",7,8,Matematic?-informatic?,Nu lucrez în prezent,3,5,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",2-4 ore,Este parte din programul meu de studii,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Probleme rezolvate pas cu pas,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, în mod frecvent",Prin rezolvarea de probleme,4,Teste gril?,2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, suport din partea profesorului",2025/03/07 12:47:34,Da,CE3,5,3,1,5,1,5,5,1,2,4,4,1,3,5,6,3,6,2,2,2,5,5,5,2,5,4,3,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,3,3,1,5,4,4,2,2,4,1,2025/03/10 14:27:55,Da,5,3,4,5,4,5,4,5,5,1,1,4,5,3,4,4,4,3,1,5,4,1,3,1,5,5,4,6,4,6,1,1,6,3,4,1,4,4,5,1,2,1,1,5,3,1,3,5,1,2,3,4,4,2,4,1,1,1,5,1,7,7,7,7,5,6,4,7,7,4,7,7,7,6,7,7,7,6,7,7,7,5,7,4.571428571,3,4,1,0,1,2,9,4,3,4.3,1.105263158,2.666666667,0.666666667,3.333333333,2.8,2.666666667,1.739130435
"Da, dar doar elemente de baz?",6,6,Altul,Lucrez într-un alt domeniu,3,4,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",Mai pu?in de 2 ore,Este parte din programul meu de studii,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Probleme rezolvate pas cu pas,S? aplic statistica în domeniul meu,"Da, am mai avut cursuri împreun?",5,5,"Da, în mod frecvent",Prin rezolvarea de probleme,4,Proiecte practice,3,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas",2025/03/07 15:52:07,Da,CE3,2,7,3,2,2,4,2,5,3,2,5,1,4,3,3,2,2,1,6,2,5,7,5,7,4,4,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,4,4,5,3,1,3,5,5,5,2,2,5,1,2025/03/10 14:26:55,Da,2,3,2,3,3,3,2,3,4,1,2,4,5,3,3,3,3,2,3,5,1,2,4,3,5,4,5,5,4,5,3,1,5,4,3,4,4,3,2,3,2,3,4,4,3,3,2,5,2,3,3,3,3,4,4,2,2,2,4,3,5,6,7,7,7,5,7,7,5,4,7,6,3,6,4,7,7,6,2,4,5,4,5,3.75,3,4,1,0,1,2,8,3.75,3.25,2.7,1,2.666666667,1.666666667,4.333333333,3.333333333,2.166666667,1.695652174
"Da, dar doar elemente de baz?",5,8,Filologie,Nu lucrez în prezent,3,3,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",Mai pu?in de 2 ore,Este parte din programul meu de studii,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Probleme rezolvate pas cu pas,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Nu, dar a? vrea s? m? simt mai încrez?tor în a face asta",Prin exemple practice,2,Teste gril?,3,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Da, exemple practice pas cu pas",2025/03/07 12:38:04,Da,CE3,4,5,3,4,1,5,6,4,4,5,2,5,5,5,2,3,5,3,5,5,5,7,5,2,7,4,5,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,5,5,5,4,3,5,5,4,5,3,2,5,1,2025/03/10 14:35:37,Da,4,2,4,4,4,5,3,3,5,1,3,4,5,4,2,4,3,3,3,2,1,1,5,1,5,4,1,5,3,5,1,1,6,4,4,3,2,2,4,1,2,1,3,4,3,1,3,5,4,3,2,5,3,5,4,4,3,5,5,3,7,6,7,7,5,5,4,6,5,4,6,6,4,6,5,7,7,7,2,6,6,2,4,4.25,3,2,1,0,0,0,7,4.625,3.125,3.7,1,3,0.666666667,3.666666667,2.733333333,2.416666667,1.608695652
"Da, într-un curs avansat",7,9,Altul,Lucrez într-un alt domeniu,4,4,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",2-4 ore,Este parte din programul meu de studii,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Probleme rezolvate pas cu pas,S? îmi îmbun?t??esc abilit??ile analitice,"Nu, este prima dat? când interac?ionez cu acest profesor/acest? echip?",5,5,"Da, dar doar ocazional",Prin exemple practice,5,Teste gril?,2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas",2025/03/10 10:59:13,Da,CE3,5,1,1,5,1,5,7,1,1,1,1,4,1,7,5,4,4,1,1,1,4,7,7,1,7,3,2,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,5,5,5,5,3,5,5,5,5,5,4,4,4,2025/03/10 19:24:39,Da,5,5,4,5,2,4,5,4,5,1,1,5,4,4,4,4,3,3,3,5,2,1,5,3,5,5,5,6,1,6,4,6,1,1,5,2,5,3,5,1,2,5,5,4,4,1,3,5,5,3,3,5,5,5,4,1,1,3,5,1,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,1,7,4,6,7,5,5.75,3,3,1,1,0,1,9,4.75,4.625,4,1.157894737,3.666666667,5,8.666666667,3.333333333,3.166666667,1.826086957
"Da, într-un curs avansat",10,10,Altul,Lucrez într-un alt domeniu,4,2,"Poate, dac? mi se pare util","Da, este una dintre op?iunile mele principale",2-4 ore,Vreau s? îmi dezvolt abilit??i analitice,"Pu?in, doar ocazional am nevoie de ajutor suplimentar",Probleme rezolvate pas cu pas,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin rezolvarea de probleme,5,Teste gril?,2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas",2025/03/07 22:43:01,Da,CE3,7,1,1,7,1,1,4,1,1,1,2,5,1,6,4,3,3,2,2,1,1,7,7,1,2,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,3,2,4,5,5,5,3,4,5,5,2025/03/10 22:40:53,Da,4,2,3,3,4,4,3,3,5,1,1,5,5,3,3,3,4,3,2,4,2,2,3,2,4,4,2,4,1,4,4,4,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,2,3,2,2,4,5,3,2,2,3,2,5,7,7,4,7,4,3,4,3,4,6,4,3,3,2,3,2,2,4,2,3,4,6,6.178571429,3,1,1,0,1,2,9,4.25,4.5,3.1,1.157894737,3.666666667,3.666666667,7.333333333,1.133333333,1.916666667,1.52173913
"Da, într-un curs avansat",6,8,Matematic?-informatic?,Lucrez deja în analiza datelor,4,3,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",Mai pu?in de 2 ore,Este parte din programul meu de studii,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Probleme rezolvate pas cu pas,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin tutoriale video,4,Proiecte practice,2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas",2025/03/07 12:56:00,Da,CE3,5,4,2,3,1,6,7,2,2,4,2,5,3,5,5,2,5,2,6,4,4,6,5,2,4,3,5,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,4,5,4,4,3,5,5,4,4,4,2,2,2,2025/03/10 15:14:33,Da,3,2,5,5,4,3,5,2,4,1,3,4,4,3,2,4,4,3,4,4,2,4,3,3,4,4,5,5,2,3,4,3,2,1,4,1,3,1,4,4,2,1,2,1,5,2,2,4,2,4,3,4,4,5,1,2,3,5,5,5,5,6,7,3,5,6,7,4,3,4,6,5,4,6,6,6,7,6,7,6,6,3,5,4.678571429,3,3,1,0,0,2,8,4.375,3,3.5,0.947368421,4,3.666666667,7.666666667,2.4,2.166666667,1.391304348
"Nu, este prima mea experien?? cu statistica",8,7,Altul,Nu lucrez în prezent,4,5,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",Mai pu?in de 2 ore,Este parte din programul meu de studii,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Tutoriale video,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, în mod frecvent",Prin tutoriale video,2,Teste gril?,1,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, tutoriale video",2025/03/07 16:25:58,Da,CE3,2,7,4,1,1,7,4,1,4,1,1,4,1,7,1,1,4,4,7,7,7,5,4,1,7,7,4,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,2025/03/10 18:10:04,Da,1,5,1,1,1,5,1,1,5,1,3,3,5,3,3,3,3,3,3,5,1,5,5,1,5,5,3,6,1,6,1,1,6,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,3,1,5,1,1,3,3,3,1,3,4,7,7,7,7,4,4,4,4,4,4,4,4,1,1,7,7,7,7,4,7,4,7,3.964285714,3,3,1,0,1,1,9,5,4.5,2.2,0.947368421,3.666666667,0.666666667,4.333333333,1,1.666666667,1.695652174
"Da, dar doar elemente de baz?",7,7,Matematic?-informatic?,Lucrez într-un alt domeniu,1,3,Nu cred,Nu cred c? m? intereseaz?,Mai pu?in de 2 ore,Este parte din programul meu de studii,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Probleme rezolvate pas cu pas,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",4,4,"Nu, dar a? vrea s? m? simt mai încrez?tor în a face asta",Prin rezolvarea de probleme,3,Proiecte practice,3,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Da, exemple practice pas cu pas",2025/03/07 14:51:47,Da,CE3,3,4,3,5,3,4,2,3,3,4,5,2,5,2,5,3,4,5,3,4,3,5,3,4,3,3,4,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,3,5,5,5,2,3,5,4,3,5,3,3,3,2025/03/10 21:59:17,Da,3,2,4,4,4,4,3,3,4,2,4,2,5,3,3,4,1,3,2,3,2,2,2,2,2,3,3,5,5,3,2,2,5,3,2,2,1,3,4,1,2,1,2,2,2,2,3,4,1,1,2,1,3,4,5,2,1,1,1,3,6,6,7,3,7,7,3,7,7,4,7,5,2,4,6,6,3,7,2,6,7,5,3,3.928571429,3,4,1,0,0,2,8,4.125,3.25,3.4,0.736842105,3,1.666666667,4.666666667,2.2,1.833333333,1.565217391
