Ai studiat anterior no?iuni de statistic? sau analiz? a datelor?,Ce not? ai ob?inut la cursul de Probabilit??i ?i Statistic? Matematic? (anul 1)?,Ce not? ai ob?inut la cursul de Statistic? Economic? (anul 2)?,Ce profil ai avut în liceu?,În prezent:,Cum apreciezi nivelul t?u actual de interes fa?? de analiza datelor?,Cât de dificil crezi c? va fi acest curs?,Ai inten?ia s? studiezi mai departe analiza datelor dup? acest curs?,?i-ar pl?cea s? lucrezi în domeniul statisticii sau analizei datelor dup? terminarea studiilor?,Cât timp ai disponibil pe s?pt?mân? pentru a studia acest curs?,Ce te motiveaz? s? participi la acest curs? ,"Cum consideri c? ai nevoie de suport suplimentar pentru a în?elege conceptele statistice?
(Exemple de ajutor suplimentar: explica?ii suplimentare din partea profesorului, resurse online, exemple practice, tutoriale video, ?edin?e de clarificare etc.)",Ce tip de resurse ?i-ar fi cele mai utile pentru a înv??a statistica?,Care este principalul t?u obiectiv legat de acest curs?,Cuno?ti deja profesorul/profesorii acestui curs dintr-o experien?? anterioar??,"Dac? ai avut cursuri cu profesorul/profesorii, cum ai descrie experien?a anterioar??",Cât de confortabil te sim?i s? interac?ionezi cu profesorul/profesorii acestui curs?,"Pân? acum, ai adresat vreodat? întreb?ri sau ai cerut clarific?ri profesorilor de statistic??",Cum preferi s? înve?i?,Cum ?i-ai descrie nivelul de confort în a lucra cu date ?i cifre?,Ce metode de evaluare preferi?,Cum preferi s? fie structurate cursurile?,Care consideri c? va fi cea mai mare provocare pentru tine în acest curs?,Ai folosit vreodat? R sau RStudio pentru analiza datelor?,În ce m?sur? te sim?i confortabil lucrând cu R/RStudio?,Care este nivelul t?u de experien?? în utilizarea R/RStudio?,Ai nevoie de resurse suplimentare pentru a înv??a s? folose?ti R/RStudio?
"Da, dar doar elemente de baz?",6,9,Matematic?-informatic?,Nu lucrez în prezent,4,3,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",5-7 ore,Vreau s? îmi dezvolt abilit??i analitice,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Probleme rezolvate pas cu pas,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin rezolvarea de probleme,3,Proiecte practice,Un mix echilibrat între teorie ?i practic?,Aplicarea statisticii în probleme reale,"Da, am experien?? de baz?",4,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Nu, m? descurc s? înv?? singur(?)"
"Nu, este prima mea experien?? cu statistica",7,7,Matematic?-informatic?,Nu lucrez în prezent,3,3,"Nu, sigur nu",Nu cred c? m? intereseaz?,2-4 ore,Este parte din programul meu de studii,"Deloc, m? simt confortabil s? înv?? pe cont propriu",Probleme rezolvate pas cu pas,S? ob?in o not? bun?,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,4,Teste gril?,Un mix echilibrat între teorie ?i practic?,Lucrul cu software statistic,"Nu, dar sunt dispus(?) s? înv??",3,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,Nu sunt sigur(?)
"Da, dar doar elemente de baz?",7,10,Matematic?-informatic?,Nu lucrez în prezent,5,4,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",2-4 ore,Vreau s? îmi dezvolt abilit??i analitice,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Tutoriale video,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin rezolvarea de probleme,5,Teste gril?,Un mix echilibrat între teorie ?i practic?,Aplicarea statisticii în probleme reale,"Da, am experien?? de baz?",3,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Da, exemple practice pas cu pas"
"Da, dar doar elemente de baz?",9,9,Matematic?-informatic?,Lucrez într-un alt domeniu,3,1,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",2-4 ore,Este parte din programul meu de studii,"Pu?in, doar ocazional am nevoie de ajutor suplimentar",Exemple practice ?i studii de caz,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,5,Proiecte practice,Un mix echilibrat între teorie ?i practic?,Lucrul cu software statistic,"Da, am experien?? de baz?",4,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Nu, m? descurc s? înv?? singur(?)"
"Da, dar doar elemente de baz?",7,9,Matematic?-informatic?,Lucrez într-un alt domeniu,4,3,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",2-4 ore,Este parte din programul meu de studii,"Pu?in, doar ocazional am nevoie de ajutor suplimentar",Probleme rezolvate pas cu pas,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Nu, nu consider c? am nevoie",Prin rezolvarea de probleme,5,Teste gril?,Cursuri bazate pe studii de caz ?i aplica?ii,Gestionarea timpului pentru a studia eficient,"Da, am experien?? de baz?",4,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Nu, m? descurc s? înv?? singur(?)"
"Da, dar doar elemente de baz?",5,9,Altul,Nu lucrez în prezent,3,4,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",2-4 ore,Este parte din programul meu de studii,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Exemple practice ?i studii de caz,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",2,1,"Da, dar doar ocazional",Prin rezolvarea de probleme,2,Proiecte practice,Un mix echilibrat între teorie ?i practic?,Lucrul cu software statistic,"Da, am experien?? de baz?",1,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas"
"Da, dar doar elemente de baz?",7,10,Matematic?-informatic?,Nu lucrez în prezent,5,4,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",2-4 ore,Îmi place analiza datelor,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Probleme rezolvate pas cu pas,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,5,Eseuri/sarcini scrise,Lec?ii teoretice urmate de exemple practice,Gestionarea timpului pentru a studia eficient,"Da, am experien?? de baz?",4,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Da, tutoriale video"
"Da, dar doar elemente de baz?",6,9,Matematic?-informatic?,Nu lucrez în prezent,3,4,"Poate, dac? mi se pare util",Nu cred c? m? intereseaz?,2-4 ore,Este parte din programul meu de studii,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Probleme rezolvate pas cu pas,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Nu, dar a? vrea s? m? simt mai încrez?tor în a face asta",Prin rezolvarea de probleme,5,Teste gril?,Lec?ii teoretice urmate de exemple practice,Lucrul cu software statistic,"Nu, dar sunt dispus(?) s? înv??",2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas"
"Da, dar doar elemente de baz?",7,7,Matematic?-informatic?,Lucrez într-un alt domeniu,1,3,Nu cred,Nu cred c? m? intereseaz?,Mai pu?in de 2 ore,Este parte din programul meu de studii,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Probleme rezolvate pas cu pas,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",4,4,"Nu, dar a? vrea s? m? simt mai încrez?tor în a face asta",Prin rezolvarea de probleme,3,Proiecte practice,Cursuri bazate pe studii de caz ?i aplica?ii,Gestionarea timpului pentru a studia eficient,"Da, am experien?? de baz?",3,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Da, exemple practice pas cu pas"
"Da, dar doar elemente de baz?",6,5,Altul,Nu lucrez în prezent,4,5,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",2-4 ore,Îmi place analiza datelor,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Exemple practice ?i studii de caz,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin colaborare în grupuri de lucru,3,Proiecte practice,Un mix echilibrat între teorie ?i practic?,În?elegerea conceptelor teoretice,"Nu, dar sunt dispus(?) s? înv??",3,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas"
"Nu, este prima mea experien?? cu statistica",7,9,Altul,Lucrez într-un alt domeniu,2,5,"Nu, sigur nu",Nu cred c? m? intereseaz?,Mai pu?in de 2 ore,Este parte din programul meu de studii,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Suport suplimentar din partea profesorului,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",1,1,"Da, dar doar ocazional",Prin colaborare în grupuri de lucru,1,Teste gril?,Un mix echilibrat între teorie ?i practic?,Lucrul cu software statistic,"Nu, ?i nu sunt sigur(?) dac? am nevoie",2,Nu am folosit niciodat? R/Rstudio,"Da, suport din partea profesorului"
"Da, într-un curs avansat",7,8,Matematic?-informatic?,Lucrez într-un alt domeniu,3,3,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",2-4 ore,Este parte din programul meu de studii,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Tutoriale video,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",4,4,"Da, dar doar ocazional",Prin tutoriale video,3,Eseuri/sarcini scrise,Un mix echilibrat între teorie ?i practic?,Lucrul cu software statistic,"Da, am experien?? de baz?",3,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, tutoriale video"
"Da, dar doar elemente de baz?",6,10,Altul,Lucrez într-un alt domeniu,5,3,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",2-4 ore,Vreau s? îmi dezvolt abilit??i analitice,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Suport suplimentar din partea profesorului,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,4,Proiecte practice,Lec?ii teoretice urmate de exemple practice,Lucrul cu software statistic,"Nu, dar sunt dispus(?) s? înv??",4,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas"
"Da, dar doar elemente de baz?",8,10,Matematic?-informatic?,Lucrez într-un alt domeniu,5,3,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",2-4 ore,Îmi place analiza datelor,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Exemple practice ?i studii de caz,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, în mod frecvent",Prin rezolvarea de probleme,5,Proiecte practice,Lec?ii teoretice urmate de exemple practice,Lucrul cu software statistic,"Da, am experien?? de baz?",3,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas"
"Da, dar doar elemente de baz?",7,7,?tiin?e ale naturii,Lucrez într-un alt domeniu,1,3,"Nu, sigur nu",Nu cred c? m? intereseaz?,Mai pu?in de 2 ore,Vreau s? îmi dezvolt abilit??i analitice,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Probleme rezolvate pas cu pas,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",4,4,"Da, dar doar ocazional",Prin colaborare în grupuri de lucru,3,Proiecte practice,Un mix echilibrat între teorie ?i practic?,Lucrul cu software statistic,"Nu, dar sunt dispus(?) s? înv??",2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas"
