Sensul ascuns transform? frumuse?ea abstract? f?r? egal. ,S?n?tatea bun? confer? realitate creativit??ii subtile. ,Întregirea lini?te?te fenomenele infinite. ,Viitorul explic? faptele ira?ionale. ,Imagina?ia este în evenimentele exponen?iale ale spa?iu-timpului. ,Suntem în mijlocul unei înfloriri autocunoscute a fiin?ei care ne va alinia cu îns??i leg?tura. ,Con?tiin?a const? din frecven?e de energie cuantic?. „Cuantic” înseamn? o descoperire a nelimitatului. ,Con?tiin?a este cre?terea coeren?ei ?i a noastr?. ,Suntem în mijlocul unei înfloriri de înalt? frecven?? a interconectivit??ii care ne va da acces la supa cuantic? îns??i. ,"Ast?zi, ?tiin?a ne spune c? esen?a naturii este bucuria.",Respect regulile universitare. ,Intru în necazuri la facultate. ,"Când sunt la cursuri, doar m? prefac c? sunt atent. ",Acord aten?ie în timpul cursurilor/seminariilor. ,Îmi predau lucr?rile la timp. ,Îmi place s? fiu la facultate. ,M? entuziasmeaz? munca mea academic?. ,Facultatea este un loc pl?cut. ,Sunt interesat de domeniul pe care îl studiez. ,M? simt fericit în via?a universitar?. ,M? plictisesc la facultate. ,Verific lucr?rile pentru erori înainte de a le predau. ,Înv?? acas? chiar ?i când nu am examene sau termene limit?. ,Încerc s? m? uit la emisiuni sau resurse video legate de domeniul meu de studiu. ,"Când citesc un articol sau o lucrare academic?, îmi pun întreb?ri pentru a m? asigura c? în?eleg corect. ",Citesc articole suplimentare pentru a înv??a mai multe despre domeniul meu de studiu. ,"Dac? nu ?tiu ce înseamn? un termen atunci când citesc, fac un efort suplimentar s? în?eleg. ","Dac? nu în?eleg un concept din materialele citite, m? întorc ?i recitesc din nou. ",Vorbesc cu colegii sau cu persoane din afaceri despre ceea ce înv?? la facultate.,Oamenii ar trebui s? ia întotdeauna în considerare dovezile care contrazic convingerile lor.,"Anumite convingeri sunt prea importante pentru a fi abandonate, indiferent cât de bune sunt argumentele împotriva lor.",Nimeni nu m? poate convinge s? renun? la ceva ce ?tiu c? este corect ,Astrologia poate fi util? în formarea judec??ilor despre personalitate.,Num?rul 13 este un num?r cu ghinion.,Nu cred în nici o supersti?ie. ,Guvernele sunt implicate în uciderea ceta?enilor nevinova?i ?i/sau persoanelor publice notorii ?i p?streaz? acest lucru secret. ,Puterea de?inut? de liderii statelor este secundar? puterii de?inute de grup?rile secrete care controleaz? cu adev?rat lumea.,"Organiza?iile secrete comunic? cu extratere?tri, dar ascund aten?iei publice acest lucru. ",R?spândirea unor virusuri ?i/sau boli este rezultatul unor eforturi sus?inute dar ascunse ale unor organiza?ii. ,"Grupuri de cercet?tori manipuleaz?, produc, sau ascund dovezi pentru a induce în eroare publicul. ","Guvernele permit sau încurajeaz? acte de terorism în interiorul propriilor teritorii, mascându-?i implicarea. ","Un grup restrâns, secret de oameni sunt responsabili pentru deciziile majore din lume, cum ar fi r?zboaiele. ",Dovezi ale interac?iunii noastre cu extratere?tri sunt ascunse aten?iei publice. ,"Dovezi ale citirii chestionarului sunt introduse pentru control, la acest item selecteaza 2",Tehnologii cu capacit?ti de control al min?ii sunt folosite pe oameni f?r? ca ace?tia s? ?tie. ,Tehnologie nou? ?i avansat? este respins? pentru c? ar putea afecta interesul industriilor actuale. ,Guvernele se folosesc de naivitatea oamenilor de rând pentru a-?i ascunde implicarea în activit??i criminale. ,Unele evenimente marcante au fost rezultatul activita?ii unor grupuri restrânse care manipuleaz? în secret evenimente din întreaga lume. ,Apari?ii sau zvonuri despre OZN-uri sunt inventate sau înscenate astfel încât aten?ia public? s? fie distras? de la interac?iunile reale cu extratere?tri. ,Experimente pentru noi medicamente sau tehnologii sunt deseori f?cute pe popula?ie f?r? cuno?tin?a sau acordul lor. ,Multe informa?ii importante sunt inten?ionat ascunse de public din interese particulare.,"  În vremuri nesigure, de obicei m? a?tept la ce e mai bun. ",Îmi este u?or s? m? relaxez. ,"Dac? ceva poate merge prost pentru mine, a?a se va întâmpla. ",Întotdeauna privesc partea bun? a lucrurilor. ,Sunt mereu optimist cu privire la viitorul meu. ,Îmi place foarte mult s? îmi petrec timpul cu prietenii. ,Este important pentru mine s? m? men?in ocupat. ,Aproape niciodat? nu m? a?tept ca lucrurile s? decurg? a?a cum îmi doresc. ,Lucrurile nu ies niciodat? a?a cum îmi doresc. ,Nu m? sup?r prea u?or. ,Cred în ideea c? „dup? furtun? vine soare”. ,Rareori m? bazez pe faptul c? mi se vor întâmpla lucruri bune. ,"  Când fac planuri, le duc la bun sfâr?it. ","De obicei, reu?esc s? fac fa?? oricum. ",Pot s? m? bazez pe mine mai mult decât pe oricine altcineva. ,Este important pentru mine s? r?mân interesat de lucruri. ,"Pot s? fiu pe cont propriu, dac? este necesar. ",M? simt mândru de realiz?rile mele din via??. ,"De obicei, iau lucrurile a?a cum vin. ",Sunt prieten cu mine însumi. ,Simt c? pot s? gestionez multe lucruri deodat?. ,Sunt o persoan? determinat?.,"Uneori verificam atentia, selecteaza raspunsul 4.",Pot s? trec prin momente dificile pentru c? am mai trecut prin dificult??i înainte. ,Am autodisciplin?. ,Mi-e u?or s? r?mân interesat de lucruri. ,"De obicei, mi-e u?or s? g?sesc motive de amuzament. ",Credin?a în mine m? ajut? s? trec prin momente grele. ,"În caz de urgen??, sunt o persoan? pe care ceilal?i se pot baza. ","De obicei, pot privi o situa?ie din mai multe unghiuri. ","Uneori m? for?ez s? fac lucruri, chiar dac? nu vreau. ",Via?a mea are un sens. ,Nu m? concentrez pe lucruri în leg?tur? cu care nu pot face nimic. ,"Când m? aflu într-o situa?ie dificil?, de obicei reu?esc s? g?sesc o cale de ie?ire. ",Am suficient? energie pentru a face ceea ce trebuie s? fac. ,Este în regul? dac? sunt oameni care nu m? plac.
4,3,5,5,1,1,3,4,5,3,3,1,2,4,4,5,3,3,4,3,4,2,1,2,2,2,3,2,4,6,6,6,2,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5,4,3,3,5,5,5,4,5,4,4,7,7,7,5,7,6,5,7,7,7,4,7,6,5,7,7,7,4,5,5,4,6,7,7
3,5,4,4,5,2,4,3,1,5,4,1,2,4,5,3,4,3,4,3,3,5,3,5,4,3,4,4,5,4,4,3,3,2,3,4,4,3,3,4,2,3,5,2,1,4,4,4,3,4,5,2,1,3,2,1,4,4,4,3,3,3,4,4,5,3,7,7,2,4,1,5,4,4,4,6,4,4,2,5,5,7,2,3,5,4,7
4,3,3,4,3,4,2,4,5,3,5,1,2,4,5,2,2,3,2,2,2,5,5,4,4,2,5,5,2,5,3,2,1,1,2,2,4,1,2,3,3,3,1,2,1,3,2,3,1,3,3,3,2,3,3,3,3,4,2,4,3,4,3,6,6,7,7,6,4,2,5,5,6,4,5,7,6,5,6,6,6,7,6,3,6,6,6
5,5,5,5,5,4,2,1,5,4,5,1,1,5,5,4,4,5,5,5,1,5,5,5,5,5,5,5,5,6,2,4,5,1,2,1,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,1,3,5,1,7,7,7,7,7,7,7,7,7,7,4,7,7,5,5,7,7,7,7,7,7,7,7,7
5,5,4,5,5,5,3,4,3,5,5,1,3,3,5,3,4,5,4,5,2,5,1,4,1,2,5,2,5,6,5,6,3,5,3,5,5,2,5,5,5,4,3,2,4,4,5,5,2,5,5,1,3,5,2,2,4,5,5,4,2,3,4,6,7,7,7,7,4,7,7,7,3,4,7,5,3,7,7,7,7,7,3,5,7,3,7
3,4,3,2,3,3,4,4,4,4,4,1,1,4,5,3,2,3,3,3,4,5,2,3,2,2,3,3,3,3,3,3,1,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,3,2,4,4,4,4,1,1,3,4,3,6,4,5,4,5,6,4,4,4,6,4,5,5,5,3,7,6,6,4,6,3,5,5,6
3,3,3,4,2,3,3,2,2,3,1,1,1,4,4,3,4,3,3,3,2,4,2,3,4,3,4,3,3,6,4,4,3,1,4,2,3,3,3,4,3,4,5,2,4,4,5,3,2,3,4,4,1,5,3,3,4,3,3,3,3,2,3,5,6,7,5,7,7,7,7,7,7,4,7,4,4,5,5,5,5,5,6,5,4,3,4
2,1,4,2,3,3,4,4,2,4,5,1,1,5,5,3,2,2,3,3,3,5,3,4,3,3,4,4,3,6,1,1,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,3,1,3,5,2,2,5,5,5,5,1,3,4,5,6,7,7,7,5,7,7,4,4,4,6,4,4,7,5,7,4,5,7,2,5,5,7
3,4,3,4,4,3,3,4,3,4,4,1,2,4,5,3,3,3,4,4,3,5,2,5,3,3,4,4,3,4,5,4,4,1,3,1,1,3,1,1,1,2,4,2,2,1,2,2,3,1,3,3,3,2,3,4,5,4,2,1,4,4,2,6,6,7,7,7,5,5,5,6,6,4,6,6,3,6,5,5,6,5,6,5,5,6,7
5,2,4,5,5,5,4,4,1,3,5,1,5,2,5,1,1,2,1,1,5,4,1,1,2,1,4,3,1,5,4,6,1,2,3,5,5,3,5,5,5,5,3,2,1,5,5,4,3,5,5,2,5,3,2,1,5,3,5,3,5,3,3,6,7,7,5,7,2,5,5,4,5,4,6,4,3,6,5,7,7,7,1,5,5,2,7
3,3,2,3,2,3,3,3,2,3,4,1,2,4,5,3,3,3,3,2,3,5,1,2,4,3,5,4,5,5,4,5,3,1,5,4,3,3,4,4,3,2,3,2,3,4,4,3,3,2,5,2,3,3,3,3,4,4,2,2,2,4,3,5,6,7,7,7,7,5,7,7,5,4,7,6,3,6,4,7,7,6,2,4,5,4,5
4,4,5,3,4,5,4,5,4,5,5,1,1,4,5,3,4,4,4,3,1,5,4,1,3,1,5,5,4,6,4,6,1,1,6,3,4,1,1,4,4,5,1,2,1,1,5,3,1,3,5,1,2,3,4,4,2,4,1,1,1,5,1,7,7,7,7,7,5,6,4,7,7,4,7,7,7,6,7,7,7,6,7,7,7,5,7
4,4,3,5,4,5,4,4,3,5,5,1,1,5,4,4,4,4,4,3,3,5,2,2,3,2,5,5,5,5,4,4,5,6,1,5,3,2,2,4,2,2,1,2,2,2,4,2,2,3,5,1,1,4,2,3,5,5,4,3,3,4,4,5,7,7,7,7,7,6,7,6,6,4,7,7,4,4,7,7,4,7,7,2,6,4,4
4,5,2,1,5,3,5,5,2,2,4,1,4,4,5,3,3,3,3,2,2,5,2,4,3,1,5,5,4,5,2,5,1,1,5,2,3,4,2,5,2,2,5,2,4,5,4,2,2,5,5,2,1,3,4,4,2,2,1,1,5,3,1,6,5,6,4,6,4,2,4,5,4,4,5,3,3,5,3,5,7,6,2,2,5,3,4
4,4,3,5,4,4,4,4,4,4,5,1,3,3,4,2,3,3,4,4,3,5,2,4,4,3,4,4,5,5,5,2,3,2,5,2,2,1,1,3,1,2,2,2,1,4,2,4,1,1,5,5,4,2,3,3,4,3,2,2,4,5,2,6,7,7,7,7,4,4,5,5,6,4,6,5,3,4,5,7,6,7,7,4,6,5,7
3,5,5,5,2,2,4,3,5,5,5,1,1,5,5,3,3,3,5,5,1,3,1,1,3,3,5,3,5,6,6,1,3,6,1,1,5,3,3,3,2,5,3,2,2,2,2,2,3,1,5,1,2,3,1,2,5,2,5,3,5,1,5,4,7,7,4,4,7,7,7,2,7,4,7,4,4,2,7,7,4,2,7,2,7,4,7
